,ItemID,ItemName,CurrentValue,LastUpdated,LowValue,LowSeenDate,HighValue,HighSeenDate,Override,Taxed,Bottleneck,Mat1Qty,Mat1,Mat2Qty,Mat2,Mat3Qty,Mat3,Mat4Qty,Mat4,Mat5Qty,Mat5,Mat6Qty,Mat6,ProductionMultiplier,CritChance,CritProduct,Experience,ProductionTime,Source,MatGroup,Tag,Description
0,206,Flashbang,52499,2018/05/13,52499,,52499,,,Yes,No,1,Herbal Gunpowder,1,Cedar Timber,1,Fruit of Crimson Flame,1,Black Stone Powder,,,,,1,,,,,Workshop,,,
1,207,Fire Shot,52499,2018/05/13,52499,,52499,,,Yes,No,1,Herbal Gunpowder,1,Cedar Timber,1,Powder of Flame,1,Black Stone Powder,,,,,1,,,,,Workshop,,,
2,208,Poison Shot,61249,2018/05/13,61249,,61249,,,Yes,No,1,Herbal Gunpowder,1,Cedar Timber,5,Herbal Poison,1,Black Stone Powder,,,,,1,,,,,Workshop,,,
3,215,Flare,17603,2018/05/13,17603,,17603,,,Yes,No,1,Herbal Gunpowder,1,Cedar Timber,1,Fruit of the Sun,1,Black Stone Powder,,,,,1,,,,,Workshop,,,
5,517,HP Potion (Small),80,2018/05/13,80,,80,,,Yes,No,,,,,,,,,,,,,,,,,,Vendor,,,
6,518,HP Potion (Medium),200,2018/05/13,200,,200,,,Yes,No,,,,,,,,,,,,,,,,,,Vendor,,,
7,520,MP Potion (Small),80,2018/05/13,80,,80,,,Yes,No,,,,,,,,,,,,,,,,,,Vendor,,,
8,521,MP Potion (Medium),200,2018/05/13,200,,200,,,Yes,No,,,,,,,,,,,,,,,,,,Vendor,,,
9,575,Whale Tendon Potion,94500,2018/05/13,94500,,94500,,,Yes,No,1,Blue Whale Tendon,3,HP Potion (Medium),3,MP Potion (Medium),8,Purified Water,,,,,2.5,0.3,Superior Whale Tendon Potion,,Alchemy,Alchemy,,,
10,576,Superior Whale Tendon Potion,126000,2018/05/13,126000,,126000,,,Yes,No,3,Whale Tendon Potion,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
11,601,[Party] Elixir of Amity,40277,2018/05/13,40277,,40277,,,Yes,No,2,Elixir of Amity,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
12,602,[Party] Improved Elixir of Amity,60419,2018/05/13,60419,,60419,,,Yes,No,2,Improved Elixir of Amity,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
13,605,[Party] Resurrection Elixir,13103,2018/05/13,13103,,13103,,,Yes,No,2,Resurrection Elixir,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
14,606,[Party] Strong Resurrection Elixir,19655,2018/05/13,19655,,19655,,,Yes,No,2,Strong Resurrection Elixir,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
15,607,[Party] Elixir of Human Hunt,31392,2018/05/13,31392,,31392,,,Yes,No,2,Elixir of Human Hunt,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
16,608,[Party] Elixir of Perfect Human Hunt,57563,2018/05/13,57563,,57563,,,Yes,No,2,Elixir of Perfect Human Hunt,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
17,609,[Party] Elixir of Frenzy,83183,2018/05/13,83183,,83183,,,Yes,No,2,Elixir of Frenzy,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
18,610,[Party] Elixir of Endless Frenzy,124781,2018/05/13,124781,,124781,,,Yes,No,2,Elixir of Endless Frenzy,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
19,611,[Party] Golden Hand Elixir,21354,2018/05/13,21354,,21354,,,Yes,No,2,Golden Hand Elixir,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
20,612,[Party] Glorious Golden Hand Elixir,115497,2018/05/13,115497,,115497,,,Yes,No,2,Glorious Golden Hand Elixir,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
21,613,[Party] Elixir of Draining,70769,2018/05/13,70769,,70769,,,Yes,No,2,Elixir of Draining,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
22,614,[Party] Elixir of Strong Draining,106157,2018/05/13,106157,,106157,,,Yes,No,2,Elixir of Strong Draining,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
23,615,[Party] Elixir of Demihuman Hunt,33917,2018/05/13,33917,,33917,,,Yes,No,2,Elixir of Demihuman Hunt,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
24,616,[Party] Fierce Demihuman Hunting Elixir,30900,2018/05/13,30900,,30900,,,Yes,No,2,Fierce Demihuman Hunting Elixir,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
25,617,[Party] Elixir of Penetration,75095,2018/05/13,75095,,75095,,,Yes,No,2,Elixir of Penetration,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
26,618,[Party] Elixir of Brutal Penetration,112643,2018/05/13,112643,,112643,,,Yes,No,2,Elixir of Brutal Penetration,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
27,619,[Party] Elixir of Energy,19115,2018/05/13,19115,,19115,,,Yes,No,2,Elixir of Energy,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
